Mixture Label,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID
64,8186,0,8051,5634,7685,78605,10560,7363,7059,7749,12473,5283349,2879,31244,5281515,326,1031,7150,7344,11509,0,0,0,0,0,0,0,0,0,0
65,62336,460,8103,6054,0,637511,7632,12367,7685,0,12020,14286,12178,264,24915,798,5634,7590,11552,0,6448,10882,6544,637566,1068,12180,240,10722,31249,8918
66,62336,460,8103,6054,0,637511,7632,12367,7685,0,31272,16666,7966,261,10821,66328,8025,6549,62444,326,176,8148,12348,180,1146,15380,0,31265,454,7583
67,6549,22201,2879,997,1140,31249,11552,4133,0,22873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,6549,22201,2879,997,1140,31249,11552,4133,0,7632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,1060,10882,1140,11002,12020,3314,7632,2969,14100,7749,8918,6054,240,264,5281515,8103,7363,1146,1068,8186,0,0,0,0,0,0,0,0,0,0
70,1060,10882,1140,11002,12020,3314,7632,2969,14100,7749,8918,6054,240,264,5281515,24915,10890,31249,11509,62465,0,0,0,0,0,0,0,0,0,0
71,10890,5373603,7519,31276,7731,4133,10821,8635,6654,6590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,8148,31272,22386,7685,176,22201,7799,1140,2879,31249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,460,6448,7583,6501,7150,264,12348,7848,62336,16666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,8186,7714,22386,0,326,8918,6549,7710,6184,5283349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,7600,0,22311,12473,177,7363,7991,6549,0,12180,16666,14100,0,8842,25137858,637511,5283349,7165,12020,8025,7714,8048,3314,15380,6736,1068,6544,8797,8186,6448
76,7600,0,22311,12473,177,7363,7991,6549,0,12180,16666,14100,0,8842,25137858,637511,5283349,7165,12020,8025,7714,8048,3314,15380,6736,1068,6544,8797,8186,997
77,177,10976,5281168,12348,6184,66328,261,14100,2969,1031,14286,10430,460,7600,0,7848,8103,6982,10722,11552,0,0,0,0,0,0,0,0,0,0
78,177,10976,5281168,12348,6184,16666,1140,15380,8797,7363,7590,0,176,7519,2758,22311,19310,14896,12232,7460,0,0,0,0,0,0,0,0,0,0
79,12020,6501,176,7344,12473,7583,31276,7363,5373603,7150,326,62444,637566,798,78605,11509,6590,7685,7165,10882,0,0,0,0,0,0,0,0,0,0
80,12020,6501,176,7344,12473,7583,31276,7363,5373603,7150,326,62444,637566,798,78605,1140,62465,8048,240,2969,0,0,0,0,0,0,0,0,0,0
81,7519,637511,7799,16666,31272,8030,12232,176,22311,10560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,7165,1140,22386,8091,6184,7059,7363,6989,5281515,997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,7710,12473,5373603,176,31276,4133,8025,12232,8051,3314,31265,0,7600,6561,7519,8635,180,5283349,6654,10890,22873,16666,10821,8918,6989,11552,1031,12348,2758,62444
84,7710,12473,5373603,176,31276,4133,8025,12232,8051,3314,6982,62433,25137858,261,10560,6549,10882,14286,7966,7714,8048,7150,7590,5634,12367,997,11124,7749,8148,6590
85,10821,261,62444,7685,240,6736,62433,6054,8130,22873,1031,12348,4133,7150,637566,14286,62465,8892,7731,3776,0,0,0,0,0,0,0,0,0,0
86,19789253,7714,5281515,24915,460,6561,1140,78605,12741,12367,7710,10722,2879,798,22201,8842,1060,2758,7059,6501,0,0,0,0,0,0,0,0,0,0
87,31244,6989,7632,4133,177,5634,6982,2879,7460,8842,637566,31272,10722,12180,22311,24915,7749,14100,11552,7410,0,0,0,0,0,0,0,0,0,0
88,1140,0,997,62433,3776,326,0,14286,8635,240,7519,12232,10976,7799,1031,0,62336,8892,176,62465,0,0,0,0,0,0,0,0,0,0
89,0,7749,22201,637511,62433,78605,7059,8635,8148,2758,14896,31244,7519,7714,7991,22873,6544,7685,8048,18827,11509,7848,5373603,1068,7363,5281168,460,10560,22311,261
90,0,7749,22201,637511,62433,78605,7059,8635,8148,2758,14896,31244,7519,7714,7991,22873,6544,7685,8048,18827,11509,7848,5373603,1068,7363,5281168,460,10560,22311,6448
91,7583,61016,2758,6544,2969,25137858,7632,14286,6989,12178,12232,1146,6501,11002,7410,7059,5281168,6054,5281515,8051,0,0,0,0,0,0,0,0,0,0
92,7583,61016,2758,6544,2969,25137858,7632,14286,6989,12178,12232,1146,6501,11002,7410,7059,5281168,6054,5281515,7519,0,0,0,0,0,0,0,0,0,0
93,6448,8048,12473,22873,798,25137858,12741,8635,8797,8051,6054,3314,31265,5281515,7991,7848,5281168,66328,1140,8148,0,0,0,0,0,0,0,0,0,0
94,6448,8048,12473,22873,798,25137858,12741,8635,8797,8051,7685,637511,19789253,6982,7150,637566,14100,8186,6501,22201,0,0,0,0,0,0,0,0,0,0
95,8148,10722,12020,31276,7685,798,61138,7344,7848,8130,12178,10821,31272,6549,6561,997,12348,8051,11124,10560,264,14286,24915,7749,7519,6544,6054,22873,261,12741
96,31265,8118,5373603,6654,7966,8918,10890,11552,3314,62444,31244,0,7762,6184,3776,19310,22311,11509,5281515,31249,25137858,12180,11002,12473,6448,10976,7731,460,2969,1060
97,4133,180,1060,18827,62465,15380,11552,7848,10890,264,6590,7363,10976,31249,14100,78605,12232,62336,7519,8186,0,0,0,0,0,0,0,0,0,0
98,4133,180,1060,18827,62465,326,997,7749,22201,12473,6054,1146,5281168,10882,6561,7799,7731,7632,5281515,8103,0,0,0,0,0,0,0,0,0,0
99,25137858,10560,997,14896,7848,8091,2879,326,22311,798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,6654,7991,22386,22873,5281515,8918,8842,66328,6736,31265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,7363,6544,7714,16666,7410,7685,5281168,240,8797,7600,6184,8186,14286,62465,25137858,0,3314,10722,4133,6054,637511,8030,10890,22311,8091,11002,8025,326,10430,31276
102,7363,6544,7714,16666,7410,7685,5281168,240,8797,7600,6184,8186,14286,62465,25137858,0,3314,10722,4133,6054,14100,10882,5634,637566,31249,3776,8635,7460,31244,7583
103,10430,3314,1146,1031,14100,19310,8797,0,22311,8148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,10430,3314,1146,11002,8103,22386,7799,12741,10976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,7600,7749,10976,25137858,3776,7583,7966,2758,66328,5281515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,7600,7749,10976,25137858,3776,7583,7966,2758,66328,7460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,7410,6544,6590,7519,7150,8091,31244,3776,10821,8148,8842,1140,8918,10430,14896,8051,176,31265,1068,264,62433,14286,2969,15380,7966,6982,10890,78605,261,61016
108,7410,6544,6590,7519,7150,8091,31244,3776,10821,8148,8842,1140,8918,10430,14896,8051,176,31265,1068,264,460,16666,10560,0,7590,12232,180,22201,62444,7059
109,5281515,5283349,7762,10882,7632,31244,8025,16666,7519,2879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,22311,7344,22386,1146,4133,6590,637566,7460,11509,6448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,7460,8842,177,180,8186,8051,10722,12020,22873,5373603,7966,3776,7731,6054,7519,12232,25137858,10890,7344,14896,0,0,0,0,0,0,0,0,0,0
112,7460,8842,177,180,8186,8051,10722,12020,22873,5373603,7966,3776,7731,6054,7519,8118,16666,78605,5634,2969,0,0,0,0,0,0,0,0,0,0
113,1068,10722,25137858,31272,7848,8130,7590,6736,8025,6501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,7632,3314,1140,8635,62336,7600,7762,6549,7059,7460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,1031,6989,8051,8103,62465,6501,7799,7749,25137858,8797,14100,5634,10821,7991,7632,7590,7059,16666,15380,5373603,637511,7165,22201,6054,8842,180,22386,7762,31265,798
116,1031,6989,8051,8103,62465,6501,7799,7749,25137858,8797,14100,5634,10821,7991,7632,7590,7059,16666,15380,5373603,637511,7165,22201,6054,8842,180,22386,7762,31265,8148
117,8842,180,6654,2758,177,22311,7410,25137858,8918,798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,8842,180,6654,2758,177,22311,7410,25137858,8918,6448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,31276,5283349,8130,6054,7600,22873,7710,0,8148,8797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,31276,5283349,8130,7590,1140,22386,24915,1068,7410,12473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,62444,2879,7762,6448,176,62465,16666,3776,326,7600,1060,4133,8091,1031,10722,7410,6590,0,460,19789253,0,0,0,0,0,0,0,0,0,0
122,62444,2879,7762,6448,176,62465,16666,3776,326,7600,1060,4133,8091,1031,10722,7410,6590,0,460,7059,0,0,0,0,0,0,0,0,0,0
123,8148,8186,8797,6544,1146,22873,31272,176,61016,637566,12473,10430,7848,326,25137858,460,8025,637511,8030,7749,0,0,0,0,0,0,0,0,0,0
124,8148,8186,8797,6544,1146,22873,31272,176,61016,637566,12473,10430,7848,326,25137858,460,8025,637511,8030,7600,0,0,0,0,0,0,0,0,0,0
125,7714,10890,8051,7966,5283349,2969,2879,10882,10560,7600,177,8797,6590,7410,8635,62336,31244,62465,7848,10976,0,0,0,0,0,0,0,0,0,0
126,7714,10890,8051,7966,5283349,2969,2879,10882,10560,7600,177,8797,6590,7410,8635,62336,31244,62465,7848,11002,0,0,0,0,0,0,0,0,0,0
127,22873,240,0,180,12348,7731,5634,6501,6982,8048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,22873,240,0,14286,8918,22386,12180,8797,7762,8025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,8025,7762,62336,10430,7632,6501,12232,31244,176,7410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,8025,7762,62336,10430,7632,6501,3314,6184,22386,18827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,6590,240,8118,7749,12348,7460,3776,3314,7059,7344,14100,24915,12178,7165,7590,8797,12020,6654,11509,11552,0,0,0,0,0,0,0,0,0,0
132,0,22386,8148,6549,7710,7991,78605,7966,31272,62444,12232,1060,8635,7363,10560,5634,7600,22201,7762,8030,0,0,0,0,0,0,0,0,0,0
133,7848,4133,8130,8051,22873,7150,31276,264,5373603,62433,11124,14286,240,18827,8892,61138,11002,460,8030,7460,0,0,0,0,0,0,0,0,0,0
134,7848,4133,8130,8051,22873,7150,31276,264,5373603,62433,11124,14286,240,18827,8892,61138,11002,460,8030,2758,0,0,0,0,0,0,0,0,0,0
135,7059,0,637511,16666,14100,31276,11124,6654,8051,31249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,7059,0,637511,16666,14100,31276,11124,6654,8051,8148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,8030,798,7714,6448,8118,7731,62336,8635,997,5281515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,8030,798,7714,6448,8118,7731,10722,7762,10821,11509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,637566,1146,0,7714,177,6989,5634,2969,10821,1031,11509,8892,62444,0,7848,5373603,2879,12020,12367,14896,7632,8130,22386,7344,798,12180,7583,7519,5283349,1068
140,637566,1146,0,7714,177,6989,5634,2969,10821,1031,10882,6448,15380,31272,7410,31244,7731,8797,11124,7966,6561,7991,5281515,8025,997,180,7059,18827,25137858,12473
141,7519,2758,12367,7714,6184,240,6982,1068,3776,12180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,7519,2758,12367,18827,16666,22386,7991,8051,5634,31272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,78605,22873,8103,6544,8118,6501,22201,6561,7685,5283349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,78605,22873,8103,6544,8118,6501,637566,7799,22386,4133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,4133,8148,7590,19789253,7731,7150,1031,7848,6654,12348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,4133,8148,7590,61016,6989,22386,8130,31249,19310,7762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,12232,7710,19310,22311,5373603,11002,8103,2758,14100,3776,10976,637566,10882,7344,10722,8797,3314,7848,2969,180,5283349,6736,31265,7059,460,0,22873,5281515,7460,7966
148,4133,798,10821,7731,12741,7714,12367,1140,240,326,7762,25137858,0,62336,8051,6544,8030,8130,6561,8635,6448,62465,62444,11552,12020,66328,61016,15380,61138,24915
149,798,5373603,22873,7519,0,15380,997,6448,637511,1146,5283349,12020,12367,176,454,6544,78605,62444,8130,10821,0,0,0,0,0,0,0,0,0,0
150,798,5373603,22873,7519,0,19789253,7165,7685,8842,6982,6184,7344,0,0,62336,22201,31249,66328,12180,12232,0,0,0,0,0,0,0,0,0,0
151,22201,8892,7590,7966,7799,10430,61138,10976,8030,10722,31249,6590,7991,8118,14896,25137858,62465,4133,10890,19310,0,0,0,0,0,0,0,0,0,0
152,22201,8892,7590,7966,7799,10430,61138,10976,8030,10722,12473,8091,7583,16666,8797,22873,6184,8103,6654,7600,0,0,0,0,0,0,0,0,0,0
153,3776,240,6590,177,637511,24915,8091,1068,0,78605,6736,176,0,8118,62336,8186,5281515,8797,7165,10821,0,0,0,0,0,0,0,0,0,0
154,6982,14286,1146,11509,8051,8148,61138,10882,7749,7731,8103,18827,1031,12367,8842,7762,25137858,8025,7799,19310,0,0,0,0,0,0,0,0,0,0
155,10821,7966,10430,7749,8025,8148,8186,7991,0,78605,16666,8048,4133,62465,12367,6054,2758,8797,8130,12741,8892,176,22311,11552,177,12473,637511,8118,61138,62336
156,637566,7344,1060,31272,12178,1140,6544,6448,0,7600,8842,19789253,19310,5281168,5283349,240,7731,326,8051,8918,1068,5373603,7363,6501,798,8030,14286,7583,5634,62444
157,3776,8130,24915,8048,62433,31249,2879,7632,10890,7991,6054,14100,0,7749,7363,2969,261,177,8842,460,0,0,0,0,0,0,0,0,0,0
158,3776,8130,24915,8048,62433,31249,2879,7632,10890,7991,326,12473,10882,6590,8051,8635,3314,12178,22311,1068,0,0,0,0,0,0,0,0,0,0
159,10560,3314,2758,1068,11509,16666,0,6590,10890,14896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,10560,3314,2758,12741,176,11552,7590,7762,6448,22201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,5634,1060,6590,7590,3776,62465,5281515,176,0,10821,12232,7363,6501,180,8148,8797,7749,6982,7991,1146,0,0,0,0,0,0,0,0,0,0
162,5634,1060,6590,7590,3776,62465,5281515,176,0,10821,12232,7363,6501,180,8148,22386,7762,12473,7710,12741,0,0,0,0,0,0,0,0,0,0
163,3776,12741,8148,8918,6448,10722,7632,6544,5281515,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,3776,12741,8148,8918,6448,10722,7632,6544,5281515,10890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,8797,1140,3314,8103,997,6544,7460,8118,11552,7749,7685,31249,180,6590,25137858,10560,7410,7059,6501,6448,0,0,0,0,0,0,0,0,0,0
166,8797,1140,3314,8103,997,6544,7460,8118,11552,7749,5634,12348,62444,11124,2879,22873,31244,326,3776,637511,0,0,0,0,0,0,0,0,0,0
167,6501,7632,61138,24915,78605,460,6982,5281168,8892,62444,12178,19310,6184,7059,6448,8048,180,11552,10821,6736,0,0,0,0,0,0,0,0,0,0
168,0,7363,7991,8103,0,12232,6544,12741,7731,8842,0,31276,637566,7848,6654,1060,31249,1068,177,1146,0,0,0,0,0,0,0,0,0,0
169,62444,6736,25137858,62465,15380,7519,12473,10821,7590,6590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,31276,0,22386,261,7762,1146,1068,4133,240,8025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,177,78605,1068,7363,7799,7600,12020,6544,11509,8091,7966,0,8048,8103,3314,6549,14286,7749,14100,12741,10890,25137858,2879,12178,7991,22201,8842,2969,240,8635
172,177,78605,1068,7363,7799,7600,12020,6544,11509,8091,7966,0,8048,8103,3314,6549,14286,7749,14100,12741,10890,25137858,2879,12178,7991,22201,8842,2969,240,6184
173,7848,3776,7799,7344,14286,31276,177,176,12178,12367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
